S/No	SWCRDBFMN	Project	Version	Station	LightBox	Fixture	LightPanel	Date	Time	S_BL	S_BR	S_CT	S_TL	S_TR	Shd	DKC	Wa_BL	Wa_BR	Wa_CT	Wa_TL	Wa_TR	Dfa_BL	Dfa_BR	Dfa_CT	Dfa_TL	Dfa_TR	Wb_BL	Wb_BR	Wb_CT	Wb_TL	Wb_TR	Dfb_BL	Dfb_BR	Dfb_CT	Dfb_TL	Dfb_TR	CR_H	CR_S	CR_L	CG_H	CG_S	CG_L	CB_H	CB_S	CB_L	R_TL	R_TR	R_CT	R_BL	R_BR	De1	De2	R_CTST	DZ1	DZ2	WZ1	WZ2	WZ1S	WZ2S	DC	WL	DV	BZ1	BZ2	WZ1	WZ2	WZ1S	WZ2S	BC	WL	BV	NO_MEANS	NO_STANDARD	BLEM	X_val	Y_val	dpc_stdev	dpc_max	dpc_min	nFit	peak	ripple	sigma	mean	amp	StdDevRed	StdDevGreen	StdDevBlue	StdDevRGB	CycleTime_S	
DCVPC01CL5T3TX	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	00:59:47	163.86	161.16	187.16	169.89	170.06	86.11	0.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	72.40	72.55	76.12	74.03	74.20	1.93	1.79	2.69	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	164.420573	0.000000	0	1280	1024	21.769	216	106	39	176	0.183	23.493	178.599	5058.013	545.312	419.433	671.372	1636.117	9	
DCVPC01CL5T3TF	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:00:05	172.53	165.94	191.33	180.36	177.57	86.73	0.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.05	74.90	76.01	70.64	71.28	1.11	4.26	2.67	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	169.971354	0.000000	0	1280	1024	21.142	216	106	39	177	0.194	27.214	181.299	5093.817	375.753	297.142	502.830	1175.725	8	
DCVPC01CL5T3TA	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:00:26	169.78	164.92	186.14	168.18	165.49	88.60	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.97	72.26	75.34	74.48	74.03	0.37	2.70	2.70	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	163.942708	0.000000	0	1280	1024	21.726	214	104	29	204	0.577	7.843	194.933	6215.084	537.981	424.134	684.520	1646.636	9	
DCVPC01CL5T3VQ	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:00:43	173.02	170.84	187.08	165.65	163.66	87.48	0.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.53	70.76	74.30	73.18	73.96	0.33	3.20	2.63	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	171.928385	0.000000	0	1280	1024	23.580	218	101	25	212	0.619	7.339	201.695	5734.669	406.587	311.841	497.653	1216.081	9	
DCVPC01CL5T3VK	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:00:59	164.25	166.83	188.10	167.34	168.55	87.32	0.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	70.58	72.52	75.53	71.35	73.15	2.37	2.58	2.66	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	166.191406	0.000000	0	1280	1024	23.408	220	101	39	179	0.121	28.781	182.614	4676.154	403.088	308.892	498.644	1210.623	11	
DCVPC01CL5T3VF	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:01:17	160.54	160.96	186.45	156.48	156.47	83.92	0.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.41	68.99	75.35	76.39	72.82	-1.04	7.40	2.70	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	160.442708	0.000000	0	1280	1024	25.925	223	88	30	212	0.696	7.922	203.398	5287.730	436.678	334.127	530.202	1301.006	9	
DCVPC01CL5T3VA	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:01:33	161.97	167.20	187.66	167.24	174.93	86.31	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.36	73.46	75.66	73.81	72.22	1.85	1.59	2.67	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	165.739583	0.000000	0	1280	1024	23.306	219	103	39	180	0.156	27.064	183.553	4745.664	392.227	304.191	493.870	1190.287	10	
DCVPC01CL5T3V4	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:01:51	172.90	171.91	191.83	175.18	172.79	89.62	0.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.26	70.63	75.52	70.87	74.35	1.18	3.71	2.63	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	173.894531	0.000000	0	1280	1024	22.411	219	100	25	212	0.603	7.711	201.542	5472.848	389.980	298.867	496.077	1184.923	10	
DCVPC01CL5T3UZ	X--X-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:02:11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.21	70.67	72.62	73.97	74.23	-1.60	3.56	2.47	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	0.000000	0.000000	0	1280	1024	22.411	219	100	25	212	0.603	7.711	201.542	5472.848	389.980	298.867	496.077	1184.923	10	
DCVPC01CL5T3UZ	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:02:27	165.49	172.52	191.73	169.61	174.98	86.31	0.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.19	71.06	74.99	73.71	74.59	0.39	3.53	2.60	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	171.713542	0.000000	0	1280	1024	23.289	217	101	39	180	0.164	24.332	180.219	4834.666	392.991	300.948	477.697	1171.636	10	
DCVPC01CL5T3UT	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:02:45	165.50	170.01	190.05	167.77	172.57	87.08	0.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.37	71.78	75.18	74.53	74.38	0.65	2.75	2.65	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	170.830729	0.000000	0	1280	1024	23.162	220	107	28	212	0.682	7.203	202.758	5873.078	390.808	297.355	485.736	1173.898	16	
DCVPC01CL5T3PX	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:03:09	160.27	170.00	190.26	164.77	174.90	84.23	0.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.98	73.71	74.50	73.60	72.22	0.52	1.77	2.55	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	169.455729	0.000000	0	1280	1024	24.061	222	101	28	212	0.568	8.284	202.593	5352.415	407.578	310.734	498.319	1216.631	9	
DCVPC01CL5T3X6	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:03:30	169.73	163.65	192.09	175.91	172.24	85.20	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.45	73.56	75.32	71.91	73.11	0.86	2.55	2.49	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	163.561198	0.000000	0	1280	1024	23.004	218	95	24	212	0.554	7.330	201.404	5336.124	394.405	300.158	492.088	1186.650	10	
DCVPC01CL5T3X1	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:03:48	165.51	154.49	187.37	175.92	168.84	82.46	0.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.45	71.61	76.55	74.01	73.45	2.10	2.84	2.48	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	152.962240	0.000000	0	1280	1024	23.374	223	105	39	182	0.159	21.612	181.027	4824.202	409.297	314.706	495.356	1219.359	8	
DCVPC01CL5T3VV	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:04:12	168.69	155.69	187.25	179.50	170.03	83.15	0.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.97	70.99	76.86	74.82	71.88	2.03	3.84	2.48	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	155.257813	0.000000	0	1280	1024	22.712	220	104	39	182	0.176	20.913	181.287	5007.602	406.350	309.752	491.028	1207.130	15	
DCVPC01CL5T3PG	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:04:36	162.00	155.64	189.37	170.97	167.46	82.19	0.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.65	70.85	75.87	74.80	72.11	1.07	3.96	2.46	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	150.373698	0.000000	0	1280	1024	24.758	222	100	39	181	0.171	24.290	180.163	4484.992	409.302	320.298	516.880	1246.480	10	
DCVPC01CL5T3PL	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:04:55	161.74	168.32	192.27	171.16	179.16	84.12	0.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.13	74.40	75.24	72.05	73.90	0.84	2.35	2.69	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	163.885417	0.000000	0	1280	1024	23.490	219	104	39	177	0.136	25.974	181.081	4770.444	394.803	303.337	495.477	1193.617	8	
DCVPC01CL5T3PR	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:05:11	151.13	154.07	186.55	166.22	172.66	81.02	0.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	70.57	71.12	73.56	73.96	73.53	-0.40	3.39	2.50	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	150.277344	0.000000	0	1280	1024	23.976	219	104	39	181	0.185	23.863	178.516	4702.489	565.853	443.148	692.120	1701.122	8	
DCVPC01CL5T3Q2	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:05:27	165.12	163.85	195.12	175.81	177.84	83.97	0.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	72.40	74.23	75.06	71.03	73.72	0.82	3.20	2.44	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	157.625000	0.000000	0	1280	1024	24.603	222	104	39	182	0.158	21.878	181.737	4558.464	410.111	315.234	509.441	1234.786	9	
DCVPC01CL5T3G9	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:05:44	169.16	161.17	189.67	179.07	173.60	84.97	0.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.04	73.47	75.50	72.54	73.32	2.02	0.93	2.60	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	161.796875	0.000000	0	1280	1024	22.350	216	101	39	177	0.166	24.618	179.613	4929.262	399.470	300.514	481.078	1181.063	7	
DCVPC01CL5T3V9	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:06:01	165.02	157.60	186.98	170.32	166.36	84.29	0.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.89	72.37	74.46	75.19	71.05	-0.73	4.14	2.53	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	155.928385	0.000000	0	1280	1024	22.585	217	103	39	177	0.190	26.699	180.452	4812.538	540.487	421.439	673.792	1635.719	9	
DCVPC01CL5T3U6	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:06:18	171.36	169.45	192.73	172.29	171.32	87.92	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	72.63	72.38	76.31	72.58	73.70	2.61	1.32	2.59	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	169.972656	0.000000	0	1280	1024	23.472	221	100	39	182	0.184	21.166	181.380	4841.145	388.114	297.048	487.844	1173.006	10	
DCVPC01CL5T3TK	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:06:41	172.04	168.66	188.14	171.74	169.96	89.65	0.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	72.50	70.63	75.55	72.26	71.96	3.06	1.87	2.67	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	165.209635	0.000000	0	1280	1024	21.909	216	103	39	180	0.168	27.855	181.098	4912.000	373.755	282.263	467.691	1123.708	16	
DCVPC01CL5T3X5	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:07:07	164.75	158.64	189.79	172.40	170.49	83.58	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.03	73.32	75.53	73.97	73.24	1.56	2.94	2.61	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	154.371094	0.000000	0	1280	1024	23.627	217	101	39	179	0.149	24.329	180.969	4815.999	395.481	308.330	510.045	1213.856	9	
DCVPC01CL5T3X0	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:07:24	162.30	165.37	184.30	162.73	167.41	88.07	0.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.19	73.81	74.43	73.48	72.79	0.24	1.40	2.48	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	163.654948	0.000000	0	1280	1024	21.877	214	105	39	179	0.192	24.863	180.890	5003.483	518.053	408.312	649.273	1575.639	10	
DCVPC01CL5T3TV	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:07:44	165.44	163.11	180.75	161.61	161.12	89.14	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.73	70.83	74.99	73.42	73.61	1.27	2.89	2.69	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	158.794271	0.000000	0	1280	1024	21.667	215	105	30	204	0.469	10.266	195.859	5507.846	537.206	420.331	679.998	1637.536	10	
DCVPC01CL5T3V7	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:08:02	167.73	147.53	186.74	176.27	160.34	79.01	0.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	69.62	74.25	73.51	71.94	71.71	-0.74	4.63	2.45	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	145.009115	0.000000	0	1280	1024	24.848	221	93	39	177	0.154	27.174	181.088	4536.316	415.503	318.228	491.414	1225.145	9	
DCVPC01CL5T3V3	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:08:19	163.23	161.61	186.89	166.12	165.98	86.47	0.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.86	73.18	76.29	72.67	72.97	3.11	1.32	2.65	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	159.783854	0.000000	0	1280	1024	22.895	218	103	24	212	0.691	6.634	201.136	5476.887	541.991	422.752	669.705	1634.447	9	
DCVPC01CL5T3X4	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:08:36	165.64	160.57	187.25	171.10	167.83	85.75	0.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.66	72.79	75.58	71.63	72.82	2.75	1.20	2.66	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	157.785156	0.000000	0	1280	1024	21.990	213	103	39	176	0.170	24.902	179.418	5021.376	540.094	414.308	645.713	1600.114	11	
DCVPC01CL5T3VZ	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:08:55	164.95	161.27	189.36	170.60	166.53	85.17	0.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	72.43	75.05	75.69	71.42	74.06	0.64	3.63	2.68	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	162.039063	0.000000	0	1280	1024	24.196	218	97	24	212	264715203595249380000000000000000000000000000000000000000000000000000000.000	0.000	-0.500	0.000	399.897	309.473	493.966	1203.336	9	
DCVPC01CL5T3VT	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:09:11	167.50	158.12	187.30	169.45	163.70	84.42	0.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	69.92	72.70	74.29	74.05	75.03	-0.74	5.11	2.57	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	154.368490	0.000000	0	1280	1024	23.253	219	106	25	212	0.569	7.817	201.423	5322.975	542.173	418.206	649.330	1609.709	10	
DCVPC01CL5T3VO	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:09:28	158.16	161.67	186.00	166.42	173.63	85.03	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.59	72.65	75.55	73.68	73.70	1.85	1.05	2.69	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	163.018229	0.000000	0	1280	1024	22.428	219	103	39	180	0.183	23.659	180.192	4948.258	536.150	417.887	660.181	1614.219	9	
DCVPC01CL5T3TQ	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:09:44	166.01	158.18	179.81	165.11	160.40	87.97	0.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	69.26	73.11	75.90	72.38	74.36	1.54	5.10	2.73	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	160.645833	0.000000	0	1280	1024	21.659	214	101	39	187	0.235	36.820	177.197	4901.956	531.947	418.717	675.947	1626.611	11	
DCVPC01CL5T3SZ	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:10:08	177.60	170.69	195.52	181.65	175.27	87.30	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	75.48	73.47	74.86	73.50	71.18	-0.62	4.30	2.63	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	172.300781	0.000000	0	1280	1024	22.650	218	98	39	182	0.164	23.172	180.068	4932.458	404.205	302.280	488.344	1194.828	9	
DCVPC01CL5T3VI	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:10:25	161.37	152.97	190.47	178.40	174.20	80.31	0.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	72.57	74.50	75.15	71.10	73.96	0.65	3.39	2.59	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	152.393229	0.000000	0	1280	1024	24.057	223	101	39	176	0.147	27.887	180.823	4480.518	418.744	322.698	517.109	1258.552	11	
DCVPC01CL5T3VD	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:10:43	163.33	147.35	187.47	178.92	168.69	78.60	0.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	74.97	72.87	75.59	74.83	72.38	0.62	2.59	2.57	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	144.868490	0.000000	0	1280	1024	24.488	222	100	36	205	0.659	9.679	198.593	5635.137	417.002	325.469	516.973	1259.444	11	
DCVPC01CL5T3UY	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:11:05	175.25	177.21	200.48	179.87	182.56	87.41	0.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	71.29	73.16	74.86	71.76	74.30	0.56	3.01	2.48	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	176.601563	0.000000	0	1280	1024	22.495	218	105	39	180	0.165	26.148	180.482	4848.611	403.656	301.708	488.108	1193.472	9	
DCVPC01CL5T3US	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:11:22	172.38	172.38	192.76	174.19	176.10	89.43	0.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	70.01	70.55	74.74	73.97	73.85	0.76	3.96	2.57	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	170.003906	0.000000	0	1280	1024	22.177	219	106	39	177	0.161	24.508	181.729	4970.985	377.542	280.677	471.438	1129.656	10	
DCVPC01CL5T3UN	O--O-------	FE10FF-345H	0112.1	Focus	000	000	000	20131212	01:11:39	170.32	160.45	188.94	174.27	168.90	84.92	0.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	73.56	71.38	75.39	75.76	74.63	-0.36	4.38	2.58	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0.000	158.244792	0.000000	0	1280	1024	22.202	212	101	28	204	0.597	7.697	194.937	5800.017	538.678	420.019	670.625	1629.322	17	
