S/No	FFDD	Date	Time	Version	Station	Fixture	PC	MIC	L_FREQ	R_FREQ	L_dB	R_dB	L_Noise	R_Noise	CycleTime	
DDPJB01855TCR6	OOOOOO	20131210	00:17:02	2012.10.22	000	000	000	2	1001	1001	-31.45	-25.27	81.60	175.35	16	
DDPJB01855TC4V	OOOOOO	20131210	00:17:59	2012.10.22	000	000	000	2	1001	1001	-24.88	-33.54	196.63	80.52	11	
DDPJB01855TC50	OOOOOO	20131210	00:18:11	2012.10.22	000	000	000	2	1001	1001	-34.36	-30.21	48.64	62.75	14	
DDPJB01855TC52	OOOOOO	20131210	00:18:26	2012.10.22	000	000	000	2	1001	1001	-29.58	-31.69	70.39	53.95	16	
DDPJB01855TC51	OOOOOO	20131210	00:18:46	2012.10.22	000	000	000	2	1001	1001	-29.57	-29.79	92.84	91.64	13	
DDPJB01855TC4Z	OOOOOO	20131210	00:19:00	2012.10.22	000	000	000	2	1001	1001	-32.36	-27.94	64.36	100.24	13	
DDPJB01855TC4O	OOOOOO	20131210	00:19:15	2012.10.22	000	000	000	2	1001	1001	-34.57	-32.60	52.29	59.32	14	
DDPJB01855TD40	OOXOOO	20131210	00:19:30	2012.10.22	000	000	000	2	1001	1001	-39.17	-32.02	51.32	93.59	16	
DDPJB01855TD3U	OOOOOO	20131210	00:19:47	2012.10.22	000	000	000	2	1001	1001	-29.19	-29.46	104.93	101.64	13	
DDPJB01855TD40	OOXOOO	20131210	00:20:01	2012.10.22	000	000	000	2	1001	1001	-38.37	-32.01	28.95	63.24	15	
DDPJB01855TD5T	OOOOOO	20131210	00:20:18	2012.10.22	000	000	000	2	1001	1001	-31.47	-32.74	62.90	84.33	13	
DDPJB01855TD40	OOOOOO	20131210	00:20:33	2012.10.22	000	000	000	2	1001	1001	-31.65	-32.88	77.53	60.83	7	
DDPJB01855TD5O	OOXOOO	20131210	00:20:41	2012.10.22	000	000	000	2	1001	1001	-37.90	-27.07	128.54	167.95	15	
