S/No	FFDD	Date	Time	Version	Station	Fixture	PC	MIC	L_FREQ	R_FREQ	L_dB	R_dB	L_Noise	R_Noise	CycleTime	
DDPJB01855TBTL	OOXOOO	20131210	02:51:57	2012.10.22	000	000	000	2	1001	1001	-37.32	-28.47	35.57	105.77	17	
DDPJB01855TBTG	OOXOOO	20131210	02:52:15	2012.10.22	000	000	000	2	1001	1001	-37.86	-25.98	23.37	102.37	6	
DDPJB01855TBTG	OOOXOO	20131210	02:52:24	2012.10.22	000	000	000	2	1001	1001	-34.33	-39.95	61.04	37.24	11	
DDPJB01855T5ZF	OOOOOO	20131210	02:52:37	2012.10.22	000	000	000	2	1001	1001	-28.05	-34.67	156.07	140.82	12	
DDPJB01855TBTG	OOOOOO	20131210	02:52:51	2012.10.22	000	000	000	2	1001	1001	-28.06	-34.44	129.36	37.46	7	
DDPJB01855TBTL	OOOOOO	20131210	02:53:01	2012.10.22	000	000	000	2	1001	1001	-28.17	-34.22	105.66	49.91	6	
DDPJB01855TBTR	OOOOOO	20131210	02:53:09	2012.10.22	000	000	000	2	1001	1001	-28.15	-34.83	103.56	65.58	7	
DDPJB01855TBU2	OOOOOO	20131210	02:53:18	2012.10.22	000	000	000	2	1001	1001	-28.10	-34.15	94.39	44.19	7	
DDPJB01855TBS3	OOOOOO	20131210	02:53:26	2012.10.22	000	000	000	2	1001	1001	-30.51	-25.25	76.18	97.14	14	
DDPJB01855TBU7	OOOOOO	20131210	02:53:42	2012.10.22	000	000	000	2	1001	1001	-30.53	-24.47	92.53	172.96	7	
DDPJB01855T5Z4	OOOOOO	20131210	02:53:51	2012.10.22	000	000	000	2	1001	1001	-28.34	-30.74	120.55	86.08	12	
DDPJB01855T60C	OOOOOO	20131210	02:54:05	2012.10.22	000	000	000	2	1001	1001	-27.50	-28.87	144.18	119.56	13	
DDPJB01855TBTX	OOOOOO	20131210	02:54:19	2012.10.22	000	000	000	2	1001	1001	-28.64	-28.99	92.87	91.31	6	
DDPJB01855TBS9	OOOOOO	20131210	02:54:27	2012.10.22	000	000	000	2	1001	1001	-28.50	-28.90	123.13	113.62	6	
DDPJB01855TBSE	OOOOOO	20131210	02:54:35	2012.10.22	000	000	000	2	1001	1001	-28.61	-28.93	82.03	72.64	6	
DDPJB01855TBSJ	OOOOOO	20131210	02:54:42	2012.10.22	000	000	000	2	1001	1001	-31.34	-27.66	88.63	97.43	16	
DDPJB01855TBSP	OOOOOO	20131210	02:54:59	2012.10.22	000	000	000	2	1001	1001	-31.34	-27.94	92.52	128.62	7	
DDPJB01855TBSU	OOOOOO	20131210	02:55:07	2012.10.22	000	000	000	2	1001	1001	-31.71	-28.12	89.47	128.00	6	
DDPJB01855T60U	OOOOOO	20131210	02:55:14	2012.10.22	000	000	000	2	1001	1001	-31.82	-28.15	90.52	117.22	6	
DDPJB01855T610	OOOOOO	20131210	02:55:22	2012.10.22	000	000	000	2	1001	1001	-30.48	-33.47	85.21	62.39	15	
DDPJB01855TBTB	OOOOOO	20131210	02:55:38	2012.10.22	000	000	000	2	1001	1001	-31.01	-31.77	83.13	79.21	12	
DDPJB01855TBT5	OOOOOO	20131210	02:55:51	2012.10.22	000	000	000	2	1001	1001	-30.27	-31.21	76.70	62.23	6	
DDPJB01855TBT0	OOOOOO	20131210	02:55:58	2012.10.22	000	000	000	2	1001	1001	-30.43	-31.91	81.64	74.75	7	
DDPJB01855T611	OOOOOO	20131210	02:56:07	2012.10.22	000	000	000	2	1001	1001	-30.48	-32.19	70.33	64.13	6	
DDPJB01855T353	OOOOOO	20131210	02:56:15	2012.10.22	000	000	000	2	1001	1001	-30.54	-32.02	59.65	52.02	7	
DDPJB01855T34Y	OOOOOO	20131210	02:56:23	2012.10.22	000	000	000	2	1001	1001	-30.48	-32.13	66.90	59.10	7	
DDPJB01855T339	OOOOOO	20131210	02:56:31	2012.10.22	000	000	000	2	1001	1001	-30.80	-36.11	82.81	36.00	15	
DDPJB01855T34S	OOOOOO	20131210	02:56:47	2012.10.22	000	000	000	2	1001	1001	-31.03	-36.23	81.14	54.17	7	
DDPJB01855T32S	OOOOOO	20131210	02:56:56	2012.10.22	000	000	000	2	1001	1001	-30.86	-36.27	68.24	38.05	7	
DDPJB01855T33E	OOOOOO	20131210	02:57:04	2012.10.22	000	000	000	2	1001	1001	-32.42	-34.34	57.68	54.00	13	
DDPJB01855T33J	OOOOOO	20131210	02:57:18	2012.10.22	000	000	000	2	1001	1001	-32.32	-34.27	82.71	89.83	7	
DDPJB01855T34L	OOOOOO	20131210	02:57:26	2012.10.22	000	000	000	2	1001	1001	-32.38	-34.29	90.19	69.28	7	
DDPJB01855T333	OOOOOO	20131210	02:57:35	2012.10.22	000	000	000	2	1001	1001	-32.42	-34.35	85.86	71.71	7	
DDPJB01855T1FU	OOOOOO	20131210	02:58:43	2012.10.22	000	000	000	2	1001	1001	-32.13	-34.48	61.41	58.12	6	
DDPJB01855T1G0	OOOOOO	20131210	02:58:51	2012.10.22	000	000	000	2	1001	1001	-32.24	-34.72	56.44	44.39	6	
DDPJB01855T6SK	OOOOOO	20131210	02:58:58	2012.10.22	000	000	000	2	1001	1001	-32.84	-33.57	64.87	55.74	14	
DDPJB01855T6SQ	OOOOOO	20131210	02:59:14	2012.10.22	000	000	000	2	1001	1001	-32.18	-29.62	81.36	95.05	12	
DDPJB01855T34Q	OOOOOO	20131210	02:59:27	2012.10.22	000	000	000	2	1001	1001	-32.80	-30.22	57.45	83.37	6	
DDPJB01855T1FA	OOOOOO	20131210	02:59:34	2012.10.22	000	000	000	2	1001	1001	-32.85	-30.12	58.38	90.13	6	
DDPJB01855T1FV	OOXOOO	20131210	02:59:42	2012.10.22	000	000	000	2	1001	1001	-37.48	-31.82	39.12	70.96	13	
DDPJB01855T1G1	OOOOOO	20131210	02:59:57	2012.10.22	000	000	000	2	1001	1001	-32.60	-25.17	78.41	128.19	-3589	
DDPJB01855T1FV	OOOOOO	20131210	03:00:09	2012.10.22	000	000	000	2	1001	1001	-32.81	-25.21	76.48	142.91	6	
DDPJB01855T6SQ	OOOOOO	20131210	03:00:17	2012.10.22	000	000	000	2	1001	1001	-32.90	-25.23	113.02	164.60	6	
DDPJB01855T1G6	OOOOOO	20131210	03:00:24	2012.10.22	000	000	000	2	1001	1001	-33.09	-25.27	51.01	115.83	7	
DDPJB01855T1GC	OOOOOO	20131210	03:00:33	2012.10.22	000	000	000	2	1001	1001	-32.84	-25.20	70.11	143.94	7	
DDPJB01855T0CF	OOOOOO	20131210	03:00:41	2012.10.22	000	000	000	2	1001	1001	-32.87	-25.24	66.28	163.03	7	
DDPJB01855T0AA	OOOOOO	20131210	03:00:49	2012.10.22	000	000	000	2	1001	1001	-33.09	-30.98	59.96	66.05	11	
DDPJB01855T0A4	OOXOOO	20131210	03:01:02	2012.10.22	000	000	000	2	1001	1001	-37.37	-28.71	45.03	86.49	12	
DDPJB01855T09Z	OOOOOO	20131210	03:01:15	2012.10.22	000	000	000	2	1001	1001	-30.90	-34.10	94.40	57.95	14	
DDPJB01855T0A4	OOOOOO	20131210	03:01:30	2012.10.22	000	000	000	2	1001	1001	-30.88	-33.89	83.21	64.16	6	
DDPJB01855T092	OOOOOO	20131210	03:01:40	2012.10.22	000	000	000	2	1001	1001	-36.94	-26.60	52.16	125.52	13	
DDPJB01855T0AK	OOOOOO	20131210	03:01:55	2012.10.22	000	000	000	2	1001	1001	-36.85	-26.30	46.89	70.70	6	
DDPJB01855T0BT	OOOOOO	20131210	03:02:02	2012.10.22	000	000	000	2	1001	1001	-35.93	-35.03	62.86	103.05	14	
DDPJB01855T07X	OOOOOO	20131210	03:02:18	2012.10.22	000	000	000	2	1001	1001	-36.43	-35.36	40.71	53.57	6	
DDPJB01855T07R	OOOOOO	20131210	03:02:25	2012.10.22	000	000	000	2	1001	1001	-31.12	-29.89	66.58	77.29	15	
DDPJB01855T097	OOOOOO	20131210	03:02:41	2012.10.22	000	000	000	2	1001	1001	-30.70	-29.67	75.68	89.05	8	
DDPJB01855T0AF	OOOOOO	20131210	03:02:50	2012.10.22	000	000	000	2	1001	1001	-31.37	-30.78	81.83	90.52	13	
DDPJB01855T6LS	OOOOOO	20131210	03:03:04	2012.10.22	000	000	000	2	1001	1001	-28.25	-27.87	98.24	114.42	13	
DDPJB01855T0AV	OOOXOO	20131210	03:03:19	2012.10.22	000	000	000	2	1001	1001	-31.94	-39.54	69.41	41.76	12	
DDPJB01855T0AV	OOOOOO	20131210	03:03:38	2012.10.22	000	000	000	2	1001	1001	-32.70	-35.12	70.94	48.00	10	
DDPJB01855T09O	OOOOOO	20131210	03:03:50	2012.10.22	000	000	000	2	1001	1001	-27.45	-33.63	116.26	74.63	15	
DDPJB01855T07L	OOOOOO	20131210	03:04:06	2012.10.22	000	000	000	2	1001	1001	-27.63	-34.60	127.02	58.33	7	
DDPJB01855T0BO	OOOOOO	20131210	03:04:14	2012.10.22	000	000	000	2	1001	1001	-36.54	-26.78	56.77	159.50	15	
DDPJB01855T0BD	OOOOOO	20131210	03:04:30	2012.10.22	000	000	000	2	1001	1001	-26.68	-31.75	153.61	64.78	12	
DDPJB01855T0BI	OOOOOO	20131210	03:04:44	2012.10.22	000	000	000	2	1001	1001	-30.48	-30.92	94.02	85.68	15	
DDPJB01855T0AQ	OOOOOO	20131210	03:05:01	2012.10.22	000	000	000	2	1001	1001	-30.06	-31.40	112.01	90.58	6	
DDPJB01855T6NE	OOOOOO	20131210	03:05:10	2012.10.22	000	000	000	2	1001	1001	-29.87	-31.22	79.23	61.66	7	
DDPJB01855T6NJ	OOOOOO	20131210	03:05:19	2012.10.22	000	000	000	2	1001	1001	-26.58	-30.15	110.93	79.19	14	
DDPJB01855T6NU	OOOOOO	20131210	03:05:34	2012.10.22	000	000	000	2	1001	1001	-31.38	-31.89	84.28	75.90	13	
DDPJB01855T6L6	OOOOOO	20131210	03:05:51	2012.10.22	000	000	000	2	1001	1001	-29.82	-30.37	71.75	66.60	14	
DDPJB01855T6LC	OOOOOO	20131210	03:06:07	2012.10.22	000	000	000	2	1001	1001	-30.71	-29.86	63.23	76.70	7	
DDPJB01855T6LH	OOOOOO	20131210	03:06:16	2012.10.22	000	000	000	2	1001	1001	-29.05	-29.23	104.26	105.17	12	
DDPJB01855T09T	OOOOOO	20131210	03:06:31	2012.10.22	000	000	000	2	1001	1001	-29.50	-29.64	123.78	123.80	6	
DDPJB01855T6NP	OOXXOO	20131210	03:06:38	2012.10.22	000	000	000	2	1001	1001	-29.61	-29.64	103.10	103.48	7	
DDPJB01855T6NP	OOOOOO	20131210	03:06:49	2012.10.22	000	000	000	2	1001	1001	-29.45	-21.95	78.69	168.27	8	
DDPJB01855T6LY	OOOOOO	20131210	03:07:45	2012.10.22	000	000	000	2	1001	1001	-33.57	-27.29	83.51	101.77	11	
DDPJB01855TD9E	XXXXOO	20131210	03:10:13	2012.10.22	000	000	000	2	0	0	-96.33	-96.33	0.66	0.58	13	
DDPJB01855T33G	XXXXOO	20131210	03:10:28	2012.10.22	000	000	000	2	0	0	-96.33	-96.33	0.00	0.00	14	
DDPJB01855T6G2	XXXXOO	20131210	03:10:44	2012.10.22	000	000	000	2	0	0	-96.33	-96.33	0.00	0.00	11	
DDPJB01855T6LN	XXXXOO	20131210	03:18:43	2012.10.22	000	000	000	2	0	0	-96.33	-96.33	0.00	0.00	7	
DDPJB01855T6LN	OOOOOO	20131210	03:18:53	2012.10.22	000	000	000	2	1001	1001	-26.78	-34.57	145.92	60.65	13	
DDPJB01855T0A0	OOOOOO	20131210	03:19:07	2012.10.22	000	000	000	2	1001	1001	-26.85	-34.82	151.37	60.62	7	
DDPJB01855T6LY	OOOOOO	20131210	03:19:15	2012.10.22	000	000	000	2	1001	1001	-26.89	-35.00	141.32	53.31	7	
DDPJB01855T6LH	OOOOOO	20131210	03:19:27	2012.10.22	000	000	000	2	1001	1001	-26.89	-35.24	125.08	40.83	7	
DDPJB01855T6KQ	OOOOOO	20131210	03:19:37	2012.10.22	000	000	000	2	1001	1001	-26.96	-35.29	124.59	62.30	8	
DDPJB01855T6L1	OOOOOO	20131210	03:19:46	2012.10.22	000	000	000	2	1001	1001	-26.97	-35.12	132.85	59.85	7	
DDPJB01855T0A5	OOOOOO	20131210	03:19:55	2012.10.22	000	000	000	2	1001	1001	-26.85	-33.70	140.64	52.70	7	
DDPJB01855T1H9	OOOOOO	20131210	03:20:04	2012.10.22	000	000	000	2	1001	1001	-27.05	-35.49	154.14	90.13	7	
DDPJB01855T1FF	OOOOOO	20131210	03:20:12	2012.10.22	000	000	000	2	1001	1001	-29.50	-25.17	60.02	129.76	13	
DDPJB01855T1FK	OOOOOO	20131210	03:20:26	2012.10.22	000	000	000	2	1001	1001	-30.01	-24.96	80.87	153.68	6	
DDPJB01855T1FQ	OOOOOO	20131210	03:20:33	2012.10.22	000	000	000	2	1001	1001	-30.16	-24.99	85.30	156.27	7	
DDPJB01855T1H3	OOOOOO	20131210	03:20:41	2012.10.22	000	000	000	2	1001	1001	-30.45	-26.10	79.35	139.02	6	
DDPJB01855T1GR	OOOOOO	20131210	03:20:48	2012.10.22	000	000	000	2	1001	1001	-30.55	-27.15	94.77	132.28	6	
DDPJB01855T1GQ	OOOOOO	20131210	03:20:56	2012.10.22	000	000	000	2	1001	1001	-30.60	-27.11	98.50	153.64	6	
DDPJB01855T1GX	OOOOOO	20131210	03:21:03	2012.10.22	000	000	000	2	1001	1001	-30.42	-26.12	92.69	145.23	7	
DDPJB01855T1H2	OOOOOO	20131210	03:21:11	2012.10.22	000	000	000	2	1001	1001	-30.49	-26.80	84.40	142.27	7	
DDPJB01855T1GN	OOOOOO	20131210	03:21:20	2012.10.22	000	000	000	2	1001	1001	-30.58	-26.58	79.53	112.98	6	
DDPJB01855T1GG	OOOOOO	20131210	03:21:27	2012.10.22	000	000	000	2	1001	1001	-30.52	-26.34	74.59	106.01	7	
DDPJB01855T6T6	OOOOOO	20131210	03:21:39	2012.10.22	000	000	000	2	1001	1001	-30.31	-25.89	62.13	104.93	6	
DDPJB01855T6SF	OOOOOO	20131210	03:21:47	2012.10.22	000	000	000	2	1001	1001	-30.48	-26.00	81.31	128.89	7	
DDPJB01855T1GB	OOOOOO	20131210	03:21:55	2012.10.22	000	000	000	2	1001	1001	-28.23	-31.26	93.67	53.82	12	
DDPJB01855T1FD	OOOOOO	20131210	03:22:08	2012.10.22	000	000	000	2	1001	1001	-28.39	-31.22	120.20	74.16	6	
DDPJB01855T1F2	OOOOOO	20131210	03:22:15	2012.10.22	000	000	000	2	1001	1001	-28.34	-31.37	99.57	97.76	6	
DDPJB01855T1F7	OOOOOO	20131210	03:22:22	2012.10.22	000	000	000	2	1001	1001	-28.45	-31.61	109.06	68.13	6	
DDPJB01855T1GV	OOOOOO	20131210	03:22:31	2012.10.22	000	000	000	2	1001	1001	-28.32	-31.33	66.40	63.55	7	
DDPJB01855T1H1	OOOOOO	20131210	03:22:39	2012.10.22	000	000	000	2	1001	1001	-28.41	-31.53	84.48	54.61	7	
DDPJB01855T1H7	OOOOOO	20131210	03:22:47	2012.10.22	000	000	000	2	1001	1001	-28.43	-31.45	124.70	90.17	6	
DDPJB01855T1G4	OOOOOO	20131210	03:22:55	2012.10.22	000	000	000	2	1001	1001	-28.39	-31.38	117.96	71.20	7	
DDPJB01855T1F1	OOOOOO	20131210	03:23:03	2012.10.22	000	000	000	2	1001	1001	-29.35	-32.99	103.86	63.96	12	
DDPJB01855T1GA	OOOOOO	20131210	03:23:17	2012.10.22	000	000	000	2	1001	1001	-29.40	-33.59	86.98	64.24	6	
DDPJB01855T1F6	OOOOOO	20131210	03:23:24	2012.10.22	000	000	000	2	1001	1001	-29.21	-32.98	104.61	64.89	7	
DDPJB01855T1H6	OOOOOO	20131210	03:23:32	2012.10.22	000	000	000	2	1001	1001	-29.39	-33.58	103.67	67.21	7	
DDPJB01855T1FC	OOOOOO	20131210	03:23:40	2012.10.22	000	000	000	2	1001	1001	-29.22	-33.02	257.37	247.76	6	
DDPJB01855T1FZ	OOOOOO	20131210	03:23:47	2012.10.22	000	000	000	2	1001	1001	-29.34	-33.56	80.48	41.85	6	
DDPJB01855T1FT	OOOOOO	20131210	03:23:55	2012.10.22	000	000	000	2	1001	1001	-29.23	-33.38	67.02	41.67	6	
DDPJB01855T1FO	OOOOOO	20131210	03:24:02	2012.10.22	000	000	000	2	1001	1001	-29.34	-33.71	110.39	60.17	6	
DDPJB01855T1FI	OOOOOO	20131210	03:24:09	2012.10.22	000	000	000	2	1001	1001	-29.38	-33.77	114.92	82.69	7	
DDPJB01855T6HA	OOOOOO	20131210	03:24:17	2012.10.22	000	000	000	2	1001	1001	-29.36	-33.71	74.84	56.65	7	
DDPJB01855T6HF	OOOOOO	20131210	03:24:26	2012.10.22	000	000	000	2	1001	1001	-29.43	-33.96	87.07	61.43	6	
DDPJB01855T6GD	OOOOOO	20131210	03:24:35	2012.10.22	000	000	000	2	1001	1001	-29.32	-33.87	88.40	63.14	6	
DDPJB01855T1GK	OOOOOO	20131210	03:24:44	2012.10.22	000	000	000	2	1001	1001	-29.32	-33.87	117.47	72.64	7	
DDPJB01855T6FN	OOOOOO	20131210	03:24:52	2012.10.22	000	000	000	2	1001	1001	-29.39	-33.82	78.32	47.89	6	
DDPJB01855T1G5	OOOOOO	20131210	03:24:59	2012.10.22	000	000	000	2	1001	1001	-29.22	-33.68	86.56	63.01	6	
DDPJB01855T6FG	OOOOOO	20131210	03:25:06	2012.10.22	000	000	000	2	1001	1001	-31.80	-27.31	90.04	118.96	13	
DDPJB01855T357	OOOOOO	20131210	03:25:21	2012.10.22	000	000	000	2	1001	1001	-34.02	-32.68	92.47	104.88	13	
DDPJB01855T352	OOOOOO	20131210	03:25:39	2012.10.22	000	000	000	2	1001	1001	-34.12	-32.85	53.43	77.64	7	
DDPJB01855T1F4	OOOOOO	20131210	03:25:50	2012.10.22	000	000	000	2	1001	1001	-33.84	-32.42	63.34	60.80	6	
DDPJB01855T093	OOOOOO	20131210	03:26:00	2012.10.22	000	000	000	2	1001	1001	-34.13	-32.73	85.80	77.10	6	
DDPJB01855T0AX	OOOOOO	20131210	03:26:08	2012.10.22	000	000	000	2	1001	1001	-34.11	-32.85	169.54	126.87	7	
DDPJB01855T07Y	OOOOOO	20131210	03:26:16	2012.10.22	000	000	000	2	1001	1001	-34.09	-32.92	42.74	49.77	6	
DDPJB01855T099	OOOOOO	20131210	03:26:24	2012.10.22	000	000	000	2	1001	1001	-34.25	-32.97	169.19	161.99	6	
DDPJB01855T0AL	OOOOOO	20131210	03:26:31	2012.10.22	000	000	000	2	1001	1001	-34.52	-33.23	41.16	56.98	6	
DDPJB01855T091	OOOOOO	20131210	03:26:40	2012.10.22	000	000	000	2	1001	1001	-34.27	-33.11	121.55	121.28	7	
DDPJB01855T09C	OOOOOO	20131210	03:26:49	2012.10.22	000	000	000	2	1001	1001	-27.85	-35.96	121.00	39.30	12	
DDPJB01855T09H	OOOOOO	20131210	03:27:02	2012.10.22	000	000	000	2	1001	1001	-28.01	-36.43	69.76	64.53	6	
DDPJB01855T09N	OOOOOO	20131210	03:27:10	2012.10.22	000	000	000	2	1001	1001	-28.03	-36.46	114.21	43.94	6	
DDPJB01855T0AR	OOOOOO	20131210	03:27:18	2012.10.22	000	000	000	2	1001	1001	-28.01	-36.41	118.62	43.87	6	
DDPJB01855T07Q	OOOOOO	20131210	03:27:29	2012.10.22	000	000	000	2	1001	1001	-27.97	-30.35	106.48	72.40	12	
DDPJB01855T0AB	OOOOOO	20131210	03:27:42	2012.10.22	000	000	000	2	1001	1001	-28.04	-30.81	134.82	88.07	7	
DDPJB01855T0AG	OOXOOO	20131210	03:27:51	2012.10.22	000	000	000	2	1001	1001	-39.24	-29.97	34.00	87.28	13	
DDPJB01855T096	OOXOOO	20131210	03:28:05	2012.10.22	000	000	000	2	1001	1001	-38.14	-33.61	119.92	111.48	27	
DDPJB01855T0AG	OOXOOO	20131210	03:28:33	2012.10.22	000	000	000	2	1001	1001	-37.62	-28.99	70.82	94.07	13	
DDPJB01855T096	OOOOOO	20131210	03:28:48	2012.10.22	000	000	000	2	1001	1001	-34.09	-30.05	69.55	99.01	16	
DDPJB01855T0AG	OOOOOO	20131210	03:29:06	2012.10.22	000	000	000	2	1001	1001	-36.65	-28.79	44.17	94.65	14	
DDPJB01855T0B7	OOOOOO	20131210	03:29:22	2012.10.22	000	000	000	2	1001	1001	-34.16	-30.63	47.10	58.49	14	
DDPJB01855T07K	OOOOOO	20131210	03:29:37	2012.10.22	000	000	000	2	1001	1001	-34.16	-30.75	68.94	95.43	7	
DDPJB01855T07V	OOOOOO	20131210	03:29:45	2012.10.22	000	000	000	2	1001	1001	-34.10	-30.72	72.70	103.78	7	
DDPJB01855T0B5	OOOOOO	20131210	03:29:53	2012.10.22	000	000	000	2	1001	1001	-34.03	-30.78	65.26	80.64	6	
DDPJB01855T0B0	OOOOOO	20131210	03:30:00	2012.10.22	000	000	000	2	1001	1001	-31.61	-32.56	100.64	82.50	14	
DDPJB01855T0B2	OOOOOO	20131210	03:30:16	2012.10.22	000	000	000	2	1001	1001	-31.84	-33.09	58.79	54.12	6	
DDPJB01855T332	OOOOOO	20131210	03:30:24	2012.10.22	000	000	000	2	1001	1001	-34.81	-30.60	45.80	73.05	15	
DDPJB01855T0C2	OOXOOO	20131210	03:30:41	2012.10.22	000	000	000	2	1001	1001	-38.68	-34.55	33.09	43.65	16	
DDPJB01855T6G7	OOOOOO	20131210	03:30:59	2012.10.22	000	000	000	2	1001	1001	-25.30	-30.58	183.93	121.17	11	
DDPJB01855T0C2	OOOOOO	20131210	03:31:11	2012.10.22	000	000	000	2	1001	1001	-25.40	-23.80	170.53	172.38	7	
DDPJB01855T6H4	OOOOOO	20131210	03:31:20	2012.10.22	000	000	000	2	1001	1001	-25.42	-23.50	110.52	163.67	7	
DDPJB01855T1GF	OOOOOO	20131210	03:31:28	2012.10.22	000	000	000	2	1001	1001	-29.63	-28.86	104.82	113.99	12	
DDPJB01855T6GZ	OOOOOO	20131210	03:31:42	2012.10.22	000	000	000	2	1001	1001	-29.79	-30.21	68.57	76.90	6	
DDPJB01855T6GT	OOOOOO	20131210	03:31:50	2012.10.22	000	000	000	2	1001	1001	-29.87	-30.67	99.14	108.34	6	
DDPJB01855T6IE	OOOOOO	20131210	03:31:57	2012.10.22	000	000	000	2	1001	1001	-29.68	-29.87	140.59	169.21	7	
DDPJB01855T6GO	OOOOOO	20131210	03:32:05	2012.10.22	000	000	000	2	1001	1001	-29.89	-28.99	73.05	84.50	6	
DDPJB01855T6GI	OOOOOO	20131210	03:32:13	2012.10.22	000	000	000	2	1001	1001	-33.11	-28.04	56.77	106.37	13	
DDPJB01855T6G9	OOOOOO	20131210	03:32:28	2012.10.22	000	000	000	2	1001	1001	-35.12	-28.58	127.50	136.51	12	
DDPJB01855T61Z	OOOXOO	20131210	03:32:41	2012.10.22	000	000	000	2	1001	1001	-31.14	-38.54	87.72	66.67	13	
DDPJB01855T6I1	OOOOOO	20131210	03:32:55	2012.10.22	000	000	000	2	1001	1001	-23.25	-25.04	188.65	180.87	11	
DDPJB01855T61Z	OOOOOO	20131210	03:33:08	2012.10.22	000	000	000	2	1001	1001	-28.50	-24.56	162.13	135.49	12	
DDPJB01855T6FY	OOOOOO	20131210	03:33:21	2012.10.22	000	000	000	2	1001	1001	-34.55	-32.46	48.47	59.92	12	
DDPJB01855T6G3	OOOOOO	20131210	03:33:35	2012.10.22	000	000	000	2	1001	1001	-34.91	-32.68	55.17	74.56	6	
DDPJB01855T6IS	OOOOOO	20131210	03:33:42	2012.10.22	000	000	000	2	1001	1001	-32.25	-27.60	67.28	118.35	11	
DDPJB01855T6HV	OOOOOO	20131210	03:33:56	2012.10.22	000	000	000	2	1001	1001	-26.84	-33.01	99.67	47.36	11	
DDPJB01855T6H5	OOOOOO	20131210	03:34:08	2012.10.22	000	000	000	2	1001	1001	-26.89	-26.51	99.55	122.91	11	
DDPJB01855T6H0	OOOOOO	20131210	03:34:21	2012.10.22	000	000	000	2	1001	1001	-30.57	-32.23	118.83	140.61	11	
DDPJB01855T6GU	OOOOOO	20131210	03:34:34	2012.10.22	000	000	000	2	1001	1001	-30.84	-32.33	66.01	64.94	5	
DDPJB01855T1HE	OOOOOO	20131210	03:34:41	2012.10.22	000	000	000	2	1001	1001	-30.72	-31.25	68.88	63.36	6	
DDPJB01855T6HQ	OOOOOO	20131210	03:34:48	2012.10.22	000	000	000	2	1001	1001	-31.09	-31.63	71.12	78.23	7	
DDPJB01855T0AE	OOOOOO	20131210	03:34:58	2012.10.22	000	000	000	2	1001	1001	-30.93	-31.49	83.97	83.09	6	
DDPJB01855T0A9	OOOOOO	20131210	03:35:06	2012.10.22	000	000	000	2	1001	1001	-31.10	-31.56	80.59	69.94	7	
DDPJB01855T0A3	OOOOOO	20131210	03:35:15	2012.10.22	000	000	000	2	1001	1001	-30.96	-31.65	81.26	68.16	7	
DDPJB01855T33Z	OOOOOO	20131210	03:35:23	2012.10.22	000	000	000	2	1001	1001	-30.83	-31.50	79.00	65.05	6	
DDPJB01855T09S	OOOOOO	20131210	03:35:30	2012.10.22	000	000	000	2	1001	1001	-30.93	-31.53	90.56	76.39	7	
DDPJB01855T0AJ	OOOOOO	20131210	03:35:38	2012.10.22	000	000	000	2	1001	1001	-31.02	-31.43	93.30	99.05	6	
DDPJB01855T0AP	OOOOOO	20131210	03:35:45	2012.10.22	000	000	000	2	1001	1001	-31.22	-31.50	62.44	54.78	6	
DDPJB01855T0AU	OOOOOO	20131210	03:35:53	2012.10.22	000	000	000	2	1001	1001	-31.12	-31.50	95.48	66.38	6	
DDPJB01855T0BG	OOOOOO	20131210	03:36:01	2012.10.22	000	000	000	2	1001	1001	-31.09	-31.54	92.48	85.02	7	
DDPJB01855T0C7	OOOOOO	20131210	03:36:09	2012.10.22	000	000	000	2	1001	1001	-31.17	-31.48	78.84	82.80	7	
DDPJB01855T0BB	OOOOOO	20131210	03:36:17	2012.10.22	000	000	000	2	1001	1001	-31.12	-31.44	62.00	54.01	6	
DDPJB01855T32R	OOOOOO	20131210	03:36:24	2012.10.22	000	000	000	2	1001	1001	-31.11	-31.42	79.95	70.24	7	
DDPJB01855T32X	OOOOOO	20131210	03:36:32	2012.10.22	000	000	000	2	1001	1001	-31.18	-31.40	84.93	84.84	6	
DDPJB01855T33I	OOOOOO	20131210	03:36:39	2012.10.22	000	000	000	2	1001	1001	-31.17	-31.33	80.31	71.11	7	
DDPJB01855T33D	OOOOOO	20131210	03:36:48	2012.10.22	000	000	000	2	1001	1001	-31.20	-31.87	66.52	57.33	6	
DDPJB01855T0BX	OOOOOO	20131210	03:36:55	2012.10.22	000	000	000	2	1001	1001	-31.25	-31.95	62.03	54.57	7	
DDPJB01855T0BR	OOOOOO	20131210	03:37:03	2012.10.22	000	000	000	2	1001	1001	-31.11	-31.96	66.76	60.52	14	
DDPJB01855T0BL	OOOOOO	20131210	03:37:18	2012.10.22	000	000	000	2	1001	1001	-28.28	-36.45	95.70	47.05	19	
DDPJB01855T32B	OOOOOO	20131210	03:37:40	2012.10.22	000	000	000	2	1001	1001	-29.43	-34.94	77.16	52.41	13	
DDPJB01855T32L	OOOOOO	20131210	03:37:55	2012.10.22	000	000	000	2	1001	1001	-34.82	-31.72	56.98	71.81	15	
DDPJB01855T09Y	OOOOOO	20131210	03:38:12	2012.10.22	000	000	000	2	1001	1001	-35.08	-30.95	69.16	96.54	7	
DDPJB01855T33T	OOOOOO	20131210	03:38:20	2012.10.22	000	000	000	2	1001	1001	-35.12	-31.21	53.04	62.57	7	
