date,S/N,condi,open,VID,PID,REV,F/W,FPGA,LED,Anime_1,Ani_R1,Ani_G1,Ani_B1,Anime_2,Ani_R2,Ani_G2,Ani_B2,IrLedNo,IrLED,touch,cable,M1,M1_R,AX,AX_R,AY,AY_R,BX,BX_R,BY,BY_R,CX,CX_R,CY,CY_R,DX,DX_R,DY,DY_R,M2,M2_R,EX,EX_R,EY,EY_R,FX,FX_R,FY,FY_R,GX,GX_R,GY,GY_R,HX,HX_R,HY,HY_R,CNo,time,camera,noise,Command,error,USB in/rm,USB kind,inspection date,inspection result,inspection no,aging date,aging result,aging no,packing date,packing result,packing no,IQC date,IQC result,IQC no
2015/03/18,P150301904,0,ALERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,15:21:01,,,,,,,,,,,,,,,,,,
2015/03/18,P150301904,0,ALERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,15:20:44,,,,,,,,,,,,,,,,,,
2015/03/18,P150301801,0,OK,OK,OK,OK,OK,OK,OK,OK,0,0,0,OK,0,0,0,12,OK,OK,,742,OK,203,OK,187,OK,1157,OK,147,OK,218,OK,879,OK,1174,OK,872,OK,708,OK,99,OK,184,OK,1089,OK,147,OK,113,OK,904,OK,1109,OK,888,OK,44,14:52:46,OK,OK,OK,,OK,,2015/03/18 14:55:34,OK,2,2015/03/19 12:03:07,OK,1,,,,,,
2015/03/18,P150301801,1,OK,OK,OK,OK,OK,OK,OK,OK,0,0,0,OK,0,0,0,12,OK,OK,,731,OK,221,OK,157,OK,1172,OK,148,OK,219,OK,857,OK,1171,OK,866,OK,707,OK,117,OK,166,OK,1100,OK,161,OK,114,OK,889,OK,1102,OK,888,OK,44,14:55:50,OK,OK,OK,,OK,,2015/03/18 14:58:46,OK,3,2015/03/19 12:03:07,OK,1,,,,,,
2015/03/18,P150301904,0,ALERT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,14:59:02,,,,,,,,,,,,,,,,,,
2015/03/18,P150301904,1,OK,OK,OK,OK,OK,OK,OK,OK,0,0,0,OK,0,0,0,12,OK,OK,,742,OK,199,OK,195,OK,1159,OK,159,OK,215,OK,891,OK,1169,OK,884,OK,707,OK,73,OK,174,OK,1069,OK,140,OK,87,OK,895,OK,1082,OK,884,OK,44,16:20:14,OK,OK,OK,,OK,,2015/03/18 16:22:17,OK,3,2015/03/19 14:21:43,OK,1,,,,,,
