SENSOR_ID	RUSPCBTHOFANLMKDX	Module_Number	PCB_Number	Lens_ID	Project	Version	Station	Workstation	Test_Time	Color_Calibration_Result	Total_Single_Defect_Pixel	Total_Couple_Defect_Pixel	Total_Tri_Defect_Pixel	Very_Hot_Defect	Hot_Defect	Bright_Defect	Dark_Defect	Darklevel_Cluster_Duplets	Midlevel_Cluster_Duplets	Darklevel_Cluster_Multiple	Midlevel_Cluster_Multiple	target_level[2300K]_R	target_level[2300K]_GinR	target_level[2300K]_GinB	target_level[2300K]_B	R/G_Color_Ratio_2300K	B/G_Color_Ratio_2300K	target_level[2800K]_R	target_level[2800K]_GinR	target_level[2800K]_GinB	target_level[2800K]_B	R/G_Color_Ratio_2800K	B/G_Color_Ratio_2800K	target_level[4100K]_R	target_level[4100K]_GinR	target_level[4100K]_GinB	target_level[4100K]_B	R/G_Color_Ratio_4100K	B/G_Color_Ratio_4100K	target_level[6500K]_R	target_level[6500K]_GinR	target_level[6500K]_GinB	target_level[6500K]_B	R/G_Color_Ratio_6500K	B/G_Color_Ratio_6500K	R/G_Color_Ratio_TL_2300K	R/G_Color_Ratio_TR_2300K	R/G_Color_Ratio_BL_2300K	R/G_Color_Ratio_BR_2300K	B/G_Color_Ratio_TL_2300K	B/G_Color_Ratio_TR_2300K	B/G_Color_Ratio_BL_2300K	B/G_Color_Ratio_BR_2300K	R/G_Color_Ratio_TL_2800K	R/G_Color_Ratio_TR_2800K	R/G_Color_Ratio_BL_2800K	R/G_Color_Ratio_BR_2800K	B/G_Color_Ratio_TL_2800K	B/G_Color_Ratio_TR_2800K	B/G_Color_Ratio_BL_2800K	B/G_Color_Ratio_BR_2800K	R/G_Color_Ratio_TL_4100K	R/G_Color_Ratio_TR_4100K	R/G_Color_Ratio_BL_4100K	R/G_Color_Ratio_BR_4100K	B/G_Color_Ratio_TL_4100K	B/G_Color_Ratio_TR_4100K	B/G_Color_Ratio_BL_4100K	B/G_Color_Ratio_BR_4100K	R/G_Color_Ratio_TL_6500K	R/G_Color_Ratio_TR_6500K	R/G_Color_Ratio_BL_6500K	R/G_Color_Ratio_BR_6500K	B/G_Color_Ratio_TL_6500K	B/G_Color_Ratio_TR_6500K	B/G_Color_Ratio_BL_6500K	B/G_Color_Ratio_BR_6500K	Color_Uniformity_2300K	Color_Uniformity_2800K	Color_Uniformity_4100K	Color_Uniformity_6500K	Lens_shading_2300K	Lens_shading_2300K_TL	Lens_shading_2300K_TR	Lens_shading_2300K_BL	Lens_shading_2300K_BR	Lens_shading_2800K	Lens_shading_2800K_TL	Lens_shading_2800K_TR	Lens_shading_2800K_BL	Lens_shading_2800K_BR	Lens_shading_4100K	Lens_shading_4100K_TL	Lens_shading_4100K_TR	Lens_shading_4100K_BL	Lens_shading_4100K_BR	Lens_shading_6500K	Lens_shading_6500K_TL	Lens_shading_6500K_TR	Lens_shading_6500K_BL	Lens_shading_6500K_BR	
3257bced1553f1d6	-----------------0	L1310200140	0	C31A0178	FM30FF-368H-1	047	CC	L001-01	03/24/2013/13:43:46	OK	20	0	0	1	3	7	9	0	0	0	0	2891.000000	2305.000000	2333.000000	668.000000	1.246658	0.288055	3068.000000	2874.000000	2911.000000	976.000000	1.060674	0.337424	2290.000000	3201.000000	3249.000000	1097.000000	0.710078	0.340155	1692.000000	2444.000000	2489.000000	1614.000000	0.685992	0.654369	0.825125	0.827121	0.833825	0.836145	1.184133	1.176306	1.205097	1.169693	0.844544	0.848243	0.854102	0.854181	1.154580	1.147815	1.174602	1.143487	0.957034	0.967213	0.970606	0.966051	1.160855	1.156097	1.184264	1.153077	0.923146	0.936590	0.935270	0.929357	1.088167	1.083111	1.101096	1.083042	5.953146	4.807314	2.480157	7.375374	0.520127	0.528001	0.531047	0.520127	0.523361	0.526600	0.534236	0.538132	0.526600	0.529615	0.559972	0.568004	0.571515	0.559972	0.561566	0.559549	0.566321	0.575978	0.559549	0.565735	
a247342cb07f5d60	-----------------0	L1310200043	0	C31A0175	FM30FF-368H-1	047	CC	L001-01	03/24/2013/13:46:04	OK	12	0	0	1	2	3	6	0	0	0	0	2947.000000	2334.000000	2368.000000	681.000000	1.253509	0.289664	3124.000000	2906.000000	2950.000000	996.000000	1.066940	0.340164	2318.000000	3233.000000	3284.000000	1115.000000	0.711370	0.342182	1723.000000	2475.000000	2523.000000	1643.000000	0.689476	0.657463	0.818633	0.833526	0.825626	0.836326	1.162271	1.168093	1.163607	1.153721	0.835990	0.851517	0.842469	0.851951	1.132502	1.141080	1.133722	1.128844	0.944909	0.965649	0.954060	0.961753	1.135667	1.149573	1.141159	1.139320	0.917036	0.929971	0.917479	0.921095	1.072243	1.082860	1.075977	1.083400	7.949700	5.688683	1.982253	9.176735	0.520740	0.530569	0.537652	0.520740	0.530202	0.526557	0.536873	0.544526	0.526557	0.536510	0.560222	0.572096	0.578841	0.560222	0.569070	0.558039	0.570277	0.582630	0.558039	0.572293	
225a7522d2a158e6	-----------------0	L1310200057	0	C31A0175	FM30FF-368H-1	047	CC	L001-01	03/24/2013/13:48:13	OK	11	0	0	0	1	3	7	0	0	0	0	2878.000000	2415.000000	2449.000000	752.000000	1.183388	0.309211	3055.000000	3004.000000	3050.000000	1079.000000	1.009250	0.356459	2322.000000	3343.000000	3386.000000	1197.000000	0.690147	0.355774	1707.000000	2545.000000	2593.000000	1706.000000	0.664461	0.664072	0.831726	0.848240	0.810714	0.814271	1.151454	1.164368	1.146150	1.139577	0.848482	0.867191	0.828600	0.832016	1.121870	1.136927	1.119621	1.114443	0.948148	0.981199	0.938031	0.949074	1.131203	1.152223	1.129958	1.127082	0.915949	0.940151	0.908775	0.913033	1.070775	1.078735	1.067443	1.062168	7.039367	5.798795	3.808703	7.775104	0.516156	0.524686	0.528500	0.516156	0.528761	0.523761	0.530024	0.534774	0.523761	0.537709	0.558130	0.560763	0.566117	0.558130	0.573817	0.557327	0.558713	0.568436	0.557327	0.577205	
b24b27fc0d1e5d73	-----------------0	L1310200053	0	C31A0175	FM30FF-368H-1	047	CC	L001-01	03/24/2013/13:50:46	OK	14	0	0	1	3	7	3	0	0	0	0	3208.000000	2410.000000	2444.000000	739.000000	1.321796	0.304491	3370.000000	2985.000000	3028.000000	1062.000000	1.120905	0.353235	2415.000000	3297.000000	3350.000000	1171.000000	0.726644	0.352339	1793.000000	2472.000000	2518.000000	1654.000000	0.718637	0.662926	0.825119	0.836980	0.831611	0.840209	1.171314	1.161638	1.171203	1.146371	0.842194	0.855123	0.850092	0.856753	1.144063	1.136016	1.142920	1.122983	0.954357	0.970856	0.970426	0.971279	1.151226	1.145782	1.156569	1.134591	0.913957	0.930802	0.926472	0.927362	1.092052	1.081749	1.096719	1.083671	7.368000	5.726344	2.674147	8.550304	0.506341	0.523356	0.540832	0.506341	0.523179	0.513182	0.530600	0.549036	0.513182	0.530433	0.547683	0.566030	0.584483	0.547683	0.564779	0.545554	0.564144	0.587805	0.545554	0.566326	
f24f47d5f961fa85	-----------------0	L1310200113	0	C31A0177	FM30FF-368H-1	047	CC	L001-01	03/24/2013/13:53:19	OK	22	0	0	0	2	9	11	0	0	0	0	2822.000000	2248.000000	2275.000000	658.000000	1.247844	0.290957	3006.000000	2809.000000	2842.000000	963.000000	1.063882	0.340825	2273.000000	3144.000000	3185.000000	1091.000000	0.718281	0.344762	1641.000000	2340.000000	2383.000000	1557.000000	0.694897	0.659327	0.817170	0.824285	0.825075	0.830477	1.174224	1.177791	1.185512	1.163094	0.836478	0.846462	0.843552	0.849035	1.137874	1.146994	1.151213	1.132886	0.942746	0.970172	0.951083	0.964498	1.139193	1.154022	1.156727	1.138378	0.916916	0.939001	0.917961	0.925726	1.065070	1.080722	1.077452	1.067642	6.718708	5.146549	2.443963	8.707040	0.524520	0.525311	0.527035	0.524520	0.527703	0.530222	0.530294	0.533929	0.530222	0.534239	0.562287	0.562287	0.569289	0.562471	0.568684	0.562421	0.563078	0.573915	0.562421	0.570835	
e25e5d6707753a80	-----------------0	L1310200112	0	C31A0177	FM30FF-368H-1	047	CC	L001-01	03/24/2013/13:55:34	OK	21	0	0	0	2	10	9	0	0	0	0	2841.000000	2262.000000	2281.000000	651.000000	1.250715	0.286595	3018.000000	2824.000000	2853.000000	955.000000	1.063238	0.336445	2266.000000	3159.000000	3194.000000	1081.000000	0.713364	0.340312	1667.000000	2399.000000	2434.000000	1582.000000	0.689841	0.654666	0.814196	0.850669	0.823418	0.850260	1.168324	1.168197	1.184393	1.152193	0.834577	0.872495	0.843333	0.868147	1.130695	1.136562	1.151002	1.124045	0.950980	0.991455	0.962991	0.979537	1.129386	1.139473	1.155426	1.128124	0.920833	0.963817	0.926070	0.943863	1.051469	1.065143	1.075619	1.064150	8.107470	6.340847	3.973617	8.902945	0.524743	0.536516	0.552091	0.524743	0.540480	0.530611	0.541998	0.557675	0.530611	0.545886	0.565043	0.577280	0.590248	0.565043	0.577719	0.562875	0.573861	0.593064	0.562875	0.580521	
c242a411253bf250	-----------------0	L1310200014	0	C31A0173	FM30FF-368H-1	047	CC	L001-01	03/24/2013/13:57:48	OK	92	4	0	1	2	67	22	0	4	0	0	3209.000000	2323.000000	2345.000000	641.000000	1.374893	0.274636	3370.000000	2901.000000	2932.000000	944.000000	1.155495	0.323676	2355.000000	3239.000000	3276.000000	1053.000000	0.722947	0.323254	1753.000000	2406.000000	2444.000000	1535.000000	0.722887	0.632990	0.800020	0.826414	0.803545	0.830431	1.176398	1.174947	1.167526	1.150284	0.821462	0.848734	0.824967	0.850353	1.141746	1.142718	1.137356	1.123991	0.946309	0.984019	0.949814	0.976049	1.151050	1.161511	1.150253	1.140915	0.905623	0.933334	0.910703	0.930772	1.072060	1.078689	1.075510	1.077373	8.762236	7.203983	5.127147	11.732384	0.526630	0.534088	0.536220	0.526630	0.529076	0.533810	0.541125	0.543320	0.533810	0.536009	0.570632	0.578978	0.579671	0.570632	0.571071	0.570018	0.576701	0.582552	0.570018	0.574674	
124ff993da07c72c	-----------------0	L1310200125	0	C31A0174	FM30FF-368H-1	047	CC	L001-01	03/24/2013/13:59:56	OK	20	0	0	0	3	4	13	0	0	0	0	2914.000000	2275.000000	2301.000000	676.000000	1.273601	0.295455	3086.000000	2835.000000	2872.000000	985.000000	1.081479	0.345190	2269.000000	3164.000000	3206.000000	1103.000000	0.712402	0.346311	1660.000000	2356.000000	2398.000000	1562.000000	0.698359	0.657131	0.849550	0.820974	0.863362	0.827839	1.194412	1.167827	1.181854	1.140142	0.870389	0.842030	0.882830	0.848157	1.161235	1.136905	1.153974	1.116228	0.986408	0.967851	0.991163	0.965851	1.166978	1.147039	1.161031	1.124310	0.950605	0.925399	0.961761	0.935436	1.089466	1.070716	1.091437	1.067854	6.509316	5.217778	2.706424	8.644533	0.528617	0.539223	0.532849	0.532523	0.528617	0.535739	0.545177	0.540641	0.537617	0.535739	0.566392	0.578585	0.577352	0.566392	0.569197	0.566749	0.575734	0.578477	0.566749	0.573329	
225e8e2ccb8fd578	-----------------0	L1310200096	0	C31A0178	FM30FF-368H-1	047	CC	L001-01	03/24/2013/14:02:07	OK	741	0	0	0	3	628	110	0	0	0	0	2945.000000	2274.000000	2305.000000	684.000000	1.286307	0.298755	3125.000000	2838.000000	2879.000000	993.000000	1.093231	0.347385	2293.000000	3147.000000	3194.000000	1106.000000	0.723230	0.348841	1720.000000	2425.000000	2469.000000	1622.000000	0.702902	0.662852	0.808107	0.864008	0.812617	0.850175	1.158309	1.199291	1.145907	1.166832	0.827993	0.883970	0.831966	0.868670	1.126603	1.169252	1.121311	1.139583	0.939079	1.003623	0.944939	0.982465	1.130631	1.179473	1.127961	1.146369	0.911850	0.963711	0.918449	0.946985	1.061599	1.098040	1.069758	1.078432	6.991180	5.670184	3.199319	10.124909	0.519838	0.525869	0.531025	0.519838	0.522199	0.526217	0.531933	0.537026	0.526217	0.528546	0.560710	0.566730	0.569897	0.560710	0.561454	0.560877	0.565579	0.572217	0.560877	0.564490	
32575930842176f2	-----------------0	L1310200065	0	C31A0172	FM30FF-368H-1	047	CC	L001-01	03/24/2013/14:04:21	OK	16	0	0	0	0	9	7	0	0	0	0	3016.000000	2237.000000	2262.000000	646.000000	1.340742	0.287175	3177.000000	2794.000000	2827.000000	941.000000	1.130404	0.334816	2270.000000	3096.000000	3138.000000	1046.000000	0.728264	0.335579	1682.000000	2323.000000	2362.000000	1516.000000	0.718036	0.647172	0.810102	0.836836	0.814739	0.838085	1.160901	1.162248	1.157694	1.138376	0.832053	0.859008	0.835472	0.858300	1.128394	1.133404	1.128565	1.114597	0.957965	0.986071	0.962322	0.980795	1.137796	1.148971	1.143098	1.128721	0.921813	0.945641	0.920322	0.937537	1.059249	1.072236	1.067662	1.069141	8.204735	6.126604	2.686217	11.145333	0.538874	0.554941	0.553163	0.538874	0.542929	0.545960	0.561931	0.560189	0.545960	0.549664	0.583957	0.600277	0.595970	0.583957	0.585538	0.580472	0.597196	0.598369	0.580472	0.586669	
